ParamObjectName	Id.KKS	Id.OperId	Id.Description.LT	Id.Description.EN	Id.Description.LV	Id.Description.RU	EngUnits	DI Obj	ScanGroup	PV Reference	AlarmByteAddress (Status)	CfgByteAddress (CMD)	RangeMinAddress	RangeMaxAddress	HystAddress	LoLoLimitAddress	LoLimitAddress	HiLimitAddress	HiHiLimitAddress	Dampher	NUmericFormat	ScaleCoef	iScONFIGURABLE	SP Address	OptimalRangeMin	OptimaRangeMax	PV.IO																												
HHF15_CT001	HHF15_CT001		Mazuto temperatūra katilo mazuto vamzdyne					PLC	sg.PLC	PLC.sg.PLC.DB33,Real800	PLC.sg.PLC.DB33,Word808	PLC.sg.PLC.DB33,Word810	PLC.sg.PLC.DB33,Real812	PLC.sg.PLC.DB33,Real816	PLC.sg.PLC.DB33,Real824	PLC.sg.PLC.DB33,Real828	PLC.sg.PLC.DB33,Real832	PLC.sg.PLC.DB33,Real834	PLC.sg.PLC.DB33,Real838	PLC.sg.PLC.DB33,Real820	F1	1	1		0	100	PLC.sg.PLC.DB33,Real804																												
HHF21_CP002	HHF21_CP002	A pusė	Mazuto slėgis po reguliavimo vožtuvo (A pusė)					PLC	sg.PLC	PLC.sg.PLC.DB33,Real880	PLC.sg.PLC.DB33,Word888	PLC.sg.PLC.DB33,Word890	PLC.sg.PLC.DB33,Real892	PLC.sg.PLC.DB33,Real896	PLC.sg.PLC.DB33,Real904	PLC.sg.PLC.DB33,Real908	PLC.sg.PLC.DB33,Real912	PLC.sg.PLC.DB33,Real914	PLC.sg.PLC.DB33,Real918	PLC.sg.PLC.DB33,Real900	F1	1	1		0	100	PLC.sg.PLC.DB33,Real884																												
HHF21_CP003	HHF21_CP003	A pusė	Mazuto slėgis po reguliavimo vožtuvo (A pusė)					PLC	sg.PLC	PLC.sg.PLC.DB33,Real960	PLC.sg.PLC.DB33,Word968	PLC.sg.PLC.DB33,Word970	PLC.sg.PLC.DB33,Real972	PLC.sg.PLC.DB33,Real976	PLC.sg.PLC.DB33,Real984	PLC.sg.PLC.DB33,Real988	PLC.sg.PLC.DB33,Real992	PLC.sg.PLC.DB33,Real994	PLC.sg.PLC.DB33,Real998	PLC.sg.PLC.DB33,Real980	F1	1	1		0	100	PLC.sg.PLC.DB33,Real964																												
HHF22_CF001	HHF22_CF001	Degikliai Nr.2, 4, 6	Mazuto srautas paduodamoje linijoje (Degikliai Nr.2, 4, 6)					PLC	sg.PLC	PLC.sg.PLC.DB33,Real1040	PLC.sg.PLC.DB33,Word1048	PLC.sg.PLC.DB33,Word1050	PLC.sg.PLC.DB33,Real1052	PLC.sg.PLC.DB33,Real1056	PLC.sg.PLC.DB33,Real1064	PLC.sg.PLC.DB33,Real1068	PLC.sg.PLC.DB33,Real1072	PLC.sg.PLC.DB33,Real1074	PLC.sg.PLC.DB33,Real1078	PLC.sg.PLC.DB33,Real1060	F1	1	1		0	100	PLC.sg.PLC.DB33,Real1044																												
HHF22_CP002	HHF22_CP002	B pusė	Mazuto slėgis po reguliavimo vožtuvo (B pusė)					PLC	sg.PLC	PLC.sg.PLC.DB33,Real1120	PLC.sg.PLC.DB33,Word1128	PLC.sg.PLC.DB33,Word1130	PLC.sg.PLC.DB33,Real1132	PLC.sg.PLC.DB33,Real1136	PLC.sg.PLC.DB33,Real1144	PLC.sg.PLC.DB33,Real1148	PLC.sg.PLC.DB33,Real1152	PLC.sg.PLC.DB33,Real1154	PLC.sg.PLC.DB33,Real1158	PLC.sg.PLC.DB33,Real1140	F1	1	1		0	100	PLC.sg.PLC.DB33,Real1124																												
HHF22_CP003	HHF22_CP003	B pusė	Mazuto slėgis po reguliavimo vožtuvo (B pusė)					PLC	sg.PLC	PLC.sg.PLC.DB33,Real1200	PLC.sg.PLC.DB33,Word1208	PLC.sg.PLC.DB33,Word1210	PLC.sg.PLC.DB33,Real1212	PLC.sg.PLC.DB33,Real1216	PLC.sg.PLC.DB33,Real1224	PLC.sg.PLC.DB33,Real1228	PLC.sg.PLC.DB33,Real1232	PLC.sg.PLC.DB33,Real1234	PLC.sg.PLC.DB33,Real1238	PLC.sg.PLC.DB33,Real1220	F1	1	1		0	100	PLC.sg.PLC.DB33,Real1204																												
HHF30_CF001	HHF30_CF001		Mazuto srautas grąžinimo linijoje					PLC	sg.PLC	PLC.sg.PLC.DB33,Real1280	PLC.sg.PLC.DB33,Word1288	PLC.sg.PLC.DB33,Word1290	PLC.sg.PLC.DB33,Real1292	PLC.sg.PLC.DB33,Real1296	PLC.sg.PLC.DB33,Real1304	PLC.sg.PLC.DB33,Real1308	PLC.sg.PLC.DB33,Real1312	PLC.sg.PLC.DB33,Real1314	PLC.sg.PLC.DB33,Real1318	PLC.sg.PLC.DB33,Real1300	F1	1	1		0	100	PLC.sg.PLC.DB33,Real1284																												
HHG10_CF901	HHG10_CF901	A pusė	Dujų srautas (A pusė)					PLC	sg.PLC	PLC.sg.PLC.DB33,Real1360	PLC.sg.PLC.DB33,Word1368	PLC.sg.PLC.DB33,Word1370	PLC.sg.PLC.DB33,Real1372	PLC.sg.PLC.DB33,Real1376	PLC.sg.PLC.DB33,Real1384	PLC.sg.PLC.DB33,Real1388	PLC.sg.PLC.DB33,Real1392	PLC.sg.PLC.DB33,Real1394	PLC.sg.PLC.DB33,Real1398	PLC.sg.PLC.DB33,Real1380	F1	1	1		0	100	PLC.sg.PLC.DB33,Real1364																												
HHG10_CP002	HHG10_CP002		Dujų slėgis už reguliuojančio vožtuvo					PLC	sg.PLC	PLC.sg.PLC.DB33,Real1440	PLC.sg.PLC.DB33,Word1448	PLC.sg.PLC.DB33,Word1450	PLC.sg.PLC.DB33,Real1452	PLC.sg.PLC.DB33,Real1456	PLC.sg.PLC.DB33,Real1464	PLC.sg.PLC.DB33,Real1468	PLC.sg.PLC.DB33,Real1472	PLC.sg.PLC.DB33,Real1474	PLC.sg.PLC.DB33,Real1478	PLC.sg.PLC.DB33,Real1460	F1	1	1		0	100	PLC.sg.PLC.DB33,Real1444																												
HHG10_CP003	HHG10_CP003		Dujų slėgis už reguliuojančio vožtuvo					PLC	sg.PLC	PLC.sg.PLC.DB33,Real1520	PLC.sg.PLC.DB33,Word1528	PLC.sg.PLC.DB33,Word1530	PLC.sg.PLC.DB33,Real1532	PLC.sg.PLC.DB33,Real1536	PLC.sg.PLC.DB33,Real1544	PLC.sg.PLC.DB33,Real1548	PLC.sg.PLC.DB33,Real1552	PLC.sg.PLC.DB33,Real1554	PLC.sg.PLC.DB33,Real1558	PLC.sg.PLC.DB33,Real1540	F1	1	1		0	100	PLC.sg.PLC.DB33,Real1524																												
HHG10_CT001	HHG10_CT001		dujų temperatūra					PLC	sg.PLC	PLC.sg.PLC.DB33,Real1600	PLC.sg.PLC.DB33,Word1608	PLC.sg.PLC.DB33,Word1610	PLC.sg.PLC.DB33,Real1612	PLC.sg.PLC.DB33,Real1616	PLC.sg.PLC.DB33,Real1624	PLC.sg.PLC.DB33,Real1628	PLC.sg.PLC.DB33,Real1632	PLC.sg.PLC.DB33,Real1634	PLC.sg.PLC.DB33,Real1638	PLC.sg.PLC.DB33,Real1620	F1	1	1		0	100	PLC.sg.PLC.DB33,Real1604																												
HHG20_CF901	HHG20_CF901	B pusė	Dujų srautas (B pusė)					PLC	sg.PLC	PLC.sg.PLC.DB33,Real1680	PLC.sg.PLC.DB33,Word1688	PLC.sg.PLC.DB33,Word1690	PLC.sg.PLC.DB33,Real1692	PLC.sg.PLC.DB33,Real1696	PLC.sg.PLC.DB33,Real1704	PLC.sg.PLC.DB33,Real1708	PLC.sg.PLC.DB33,Real1712	PLC.sg.PLC.DB33,Real1714	PLC.sg.PLC.DB33,Real1718	PLC.sg.PLC.DB33,Real1700	F1	1	1		0	100	PLC.sg.PLC.DB33,Real1684																												
HHG20_CP002	HHG20_CP002		Dujų slėgis už reguliuojančio vožtuvo					PLC	sg.PLC	PLC.sg.PLC.DB33,Real1760	PLC.sg.PLC.DB33,Word1768	PLC.sg.PLC.DB33,Word1770	PLC.sg.PLC.DB33,Real1772	PLC.sg.PLC.DB33,Real1776	PLC.sg.PLC.DB33,Real1784	PLC.sg.PLC.DB33,Real1788	PLC.sg.PLC.DB33,Real1792	PLC.sg.PLC.DB33,Real1794	PLC.sg.PLC.DB33,Real1798	PLC.sg.PLC.DB33,Real1780	F1	1	1		0	100	PLC.sg.PLC.DB33,Real1764																												
HHG20_CP003	HHG20_CP003		Dujų slėgis už reguliuojančio vožtuvo					PLC	sg.PLC	PLC.sg.PLC.DB33,Real1840	PLC.sg.PLC.DB33,Word1848	PLC.sg.PLC.DB33,Word1850	PLC.sg.PLC.DB33,Real1852	PLC.sg.PLC.DB33,Real1856	PLC.sg.PLC.DB33,Real1864	PLC.sg.PLC.DB33,Real1868	PLC.sg.PLC.DB33,Real1872	PLC.sg.PLC.DB33,Real1874	PLC.sg.PLC.DB33,Real1878	PLC.sg.PLC.DB33,Real1860	F1	1	1		0	100	PLC.sg.PLC.DB33,Real1844																												
HHG31_CP001	HHG31_CP001		Dujų slėgis tarp degiklio Nr.1 darbinės ir kontrolinės dujų sklendės					PLC	sg.PLC	PLC.sg.PLC.DB33,Real1920	PLC.sg.PLC.DB33,Word1928	PLC.sg.PLC.DB33,Word1930	PLC.sg.PLC.DB33,Real1932	PLC.sg.PLC.DB33,Real1936	PLC.sg.PLC.DB33,Real1944	PLC.sg.PLC.DB33,Real1948	PLC.sg.PLC.DB33,Real1952	PLC.sg.PLC.DB33,Real1954	PLC.sg.PLC.DB33,Real1958	PLC.sg.PLC.DB33,Real1940	F1	1	1		0	100	PLC.sg.PLC.DB33,Real1924																												
HHG31_CP002	HHG31_CP002		Dujų slėgis į degiklį Nr. 1					PLC	sg.PLC	PLC.sg.PLC.DB33,Real2000	PLC.sg.PLC.DB33,Word2008	PLC.sg.PLC.DB33,Word2010	PLC.sg.PLC.DB33,Real2012	PLC.sg.PLC.DB33,Real2016	PLC.sg.PLC.DB33,Real2024	PLC.sg.PLC.DB33,Real2028	PLC.sg.PLC.DB33,Real2032	PLC.sg.PLC.DB33,Real2034	PLC.sg.PLC.DB33,Real2038	PLC.sg.PLC.DB33,Real2020	F1	1	1		0	100	PLC.sg.PLC.DB33,Real2004																												
HHG32_CP001	HHG32_CP001		Dujų slėgis tarp degiklio Nr.2 darbinės ir kontrolinės dujų sklendės					PLC	sg.PLC	PLC.sg.PLC.DB33,Real2080	PLC.sg.PLC.DB33,Word2088	PLC.sg.PLC.DB33,Word2090	PLC.sg.PLC.DB33,Real2092	PLC.sg.PLC.DB33,Real2096	PLC.sg.PLC.DB33,Real2104	PLC.sg.PLC.DB33,Real2108	PLC.sg.PLC.DB33,Real2112	PLC.sg.PLC.DB33,Real2114	PLC.sg.PLC.DB33,Real2118	PLC.sg.PLC.DB33,Real2100	F1	1	1		0	100	PLC.sg.PLC.DB33,Real2084																												
